category_uid,category_name,category_description,category_parent_id
220-081603,International,"International pet moving",220-081600
220-081604,"Medical Transport","Vet visit transportation",220-081600
220-081605,"Group Transport","Multi-pet transportation",220-081600
220-081700,"Pet Photography","Professional pet photos",220-080000
220-081701,"Portrait Sessions","Pet portrait photography",220-081700
220-081702,"Action Shots","Pet activity photography",220-081700
220-081703,"Event Coverage","Pet event documentation",220-081700
220-081704,"Family Portraits","Pet-owner photo sessions",220-081700
220-081705,"Competition Photos","Show event photography",220-081700
220-081800,"Pet Adoption","Animal adoption services",220-080000
220-081801,"Dog Adoption","Canine placement services",220-081800
220-081802,"Cat Adoption","Feline placement services",220-081800
220-081803,"Small Pet Adoption","Small animal placement",220-081800
220-081804,"Senior Pet Adoption","Older animal placement",220-081800
220-081805,"Special Needs Adoption","Special care pet placement",220-081800
220-081900,"Pet Therapy","Animal therapy services",220-080000
220-081901,"Physical Therapy","Pet rehabilitation services",220-081900
220-081902,Hydrotherapy,"Water-based pet therapy",220-081900
220-081903,"Massage Therapy","Pet massage services",220-081900
220-081904,Acupuncture,"Pet acupuncture treatment",220-081900
220-081905,"Behavioral Therapy","Pet mental health services",220-081900
220-082000,"Pet Nutrition","Animal nutrition services",220-080000
220-082001,"Diet Consultation","Pet nutrition planning",220-082000
220-082002,"Meal Planning","Custom diet development",220-082000
220-082003,"Weight Management","Pet weight control programs",220-082000
220-082004,"Medical Nutrition","Health condition diets",220-082000
220-082005,"Supplement Planning","Nutritional enhancement",220-082000
220-082100,"Pet Exercise","Pet fitness services",220-080000
220-082101,"Dog Walking","Canine exercise service",220-082100
220-082102,"Pet Swimming","Aquatic exercise programs",220-082100
220-082103,"Agility Training","Pet obstacle courses",220-082100
220-082104,"Indoor Exercise","Controlled environment activity",220-082100
220-082105,"Group Play","Social exercise sessions",220-082100
220-082200,"Pet Insurance","Animal insurance services",220-080000
220-082201,"Accident Coverage","Pet accident insurance",220-082200
220-082202,"Illness Coverage","Pet illness insurance",220-082200
220-082203,"Wellness Plans","Preventive care coverage",220-082200
220-082204,"Senior Pet Plans","Older pet insurance",220-082200
220-082205,"Breed-Specific Plans","Breed-tailored coverage",220-082200
220-082300,"Pet Funeral Services","Pet memorial services",220-080000
220-082301,"Cremation Services","Pet cremation options",220-082300
220-082302,"Burial Services","Pet burial arrangements",220-082300
220-082303,"Memorial Products","Pet remembrance items",220-082300
220-082304,"Grief Counseling","Pet loss support",220-082300
220-082305,"Home Services","In-home memorial service",220-082300
220-082400,"Pet Breeding","Professional breeding services",220-080000
220-082401,"Dog Breeding","Purebred dog breeding",220-082400
220-082402,"Cat Breeding","Purebred cat breeding",220-082400
220-082403,"Bird Breeding","Avian breeding services",220-082400
220-082404,"Exotic Pet Breeding","Specialty animal breeding",220-082400
220-082405,"Genetic Testing","Breeding health screening",220-082400
220-082500,"Pet Lost & Found","Missing pet services",220-080000
220-082501,"Search Services","Lost pet search assistance",220-082500
220-082502,"ID Tag Services","Pet identification services",220-082500
220-082503,"GPS Tracking","Pet location tracking",220-082500
220-082504,"Alert Systems","Lost pet notification",220-082500
220-082505,"Recovery Support","Pet recovery assistance",220-082500
220-090000,"Restaurants & Food","Food service establishments",NULL
220-090100,"Fine Dining","Upscale dining establishments",220-090000
220-090101,"French Fine Dining","Upscale French cuisine",220-090100
220-090102,"Italian Fine Dining","Premium Italian cuisine",220-090100
220-090103,"Contemporary Fusion","Modern fusion dining",220-090100
220-090104,"Tasting Menus","Multi-course experiences",220-090100
220-090105,"Wine Pairing","Curated wine dining",220-090100
220-090200,"Casual Dining","Relaxed dining restaurants",220-090000
220-090201,"Family Restaurants","Family-friendly dining",220-090200
220-090202,"Bistro Style","Casual French inspired",220-090200
220-090203,Gastropubs,"Upscale pub dining",220-090200
220-090204,"Neighborhood Cafes","Local casual eateries",220-090200
220-090205,Diners,"Classic American casual",220-090200
220-090300,"Fast Food","Quick service restaurants",220-090000
220-090301,"Burger Joints","Quick service burgers",220-090300
220-090302,"Quick Mexican","Fast service Mexican",220-090300
220-090303,"Sandwich Shops","Quick service sandwiches",220-090300
220-090304,"Pizza Delivery","Fast service pizza",220-090300
220-090305,"Chicken Restaurants","Quick service chicken",220-090300
220-090400,"Asian Cuisine","Asian food restaurants",220-090000
220-090401,"Chinese Restaurant","Chinese food dining",220-090400
220-090402,"Japanese Restaurant","Japanese food dining",220-090400
220-090403,"Thai Restaurant","Thai food dining",220-090400
220-090404,"Indian Restaurant","Indian food dining",220-090400
220-090405,"Korean Restaurant","Korean food dining",220-090400
220-090406,"Vietnamese Restaurant","Traditional Vietnamese food",220-090400
220-090407,"Malaysian Cuisine","Authentic Malaysian dishes",220-090400
220-090408,"Filipino Restaurant","Traditional Filipino food",220-090400
220-090409,"Indonesian Cuisine","Authentic Indonesian fare",220-090400
220-090410,"Fusion Asian","Modern Asian fusion",220-090400
220-090500,"European Cuisine","European food restaurants",220-090000
220-090501,"Greek Restaurant","Traditional Greek dining",220-090500
220-090502,"Spanish Cuisine","Authentic Spanish food",220-090500
220-090503,"German Restaurant","Traditional German fare",220-090500
220-090504,Mediterranean,"Mediterranean style food",220-090500
220-090505,"Eastern European","Eastern European cuisine",220-090500
220-090600,"American Cuisine","American style restaurants",220-090000
220-090601,"Southern Kitchen","Southern style cooking",220-090600
220-090602,"BBQ Restaurant","Barbecue specialties",220-090600
220-090603,"New England Style","Northeast regional cuisine",220-090600
220-090604,"Southwest Fusion","Southwestern inspired food",220-090600
220-090605,"Classic American","Traditional American fare",220-090600
220-090700,Vegetarian/Vegan,"Plant-based food restaurants",220-090000
220-090701,"Raw Vegan","Uncooked plant-based food",220-090700
220-090702,"Plant-Based Casual","Casual vegan dining",220-090700
220-090703,"Vegetarian Indian","Meat-free Indian cuisine",220-090700
220-090704,"Vegan Fine Dining","Upscale plant-based food",220-090700
220-090705,"Veggie Fast Food","Quick service plant-based",220-090700
220-090800,Seafood,"Seafood restaurants",220-090000
220-090801,"Fresh Fish House","Fresh fish specialties",220-090800
220-090802,"Shellfish Restaurant","Shellfish focused dining",220-090800
220-090803,"Sushi Restaurant","Japanese fish cuisine",220-090800
220-090804,"Seafood Market Dining","Market-fresh seafood",220-090800
220-090805,"Coastal Cuisine","Beachside seafood dining",220-090800
220-090900,Steakhouse,"Steak and meat restaurants",220-090000
220-090901,"Prime Steakhouse","Premium steak dining",220-090900
220-090902,"Brazilian Steakhouse","Churrascaria style dining",220-090900
220-090903,"Casual Steakhouse","Relaxed steak dining",220-090900
220-090904,"Wagyu Specialist","Premium beef dining",220-090900
220-090905,"Steak and Seafood","Surf and turf dining",220-090900
220-091000,Catering,"Food service for events",220-090000
220-091001,"Corporate Catering","Business event catering",220-091000
220-091002,"Wedding Catering","Wedding event catering",220-091000
220-091003,"Private Event Catering","Personal event catering",220-091000
220-091004,"Buffet Catering","Self-service catering",220-091000
220-091005,"Box Lunch Catering","Individual meal catering",220-091000
220-091100,"Food Delivery","Meal delivery services",220-090000
220-091101,"Restaurant Delivery","Hot food delivery service",220-091100
220-091102,"Grocery Delivery","Food shopping delivery",220-091100
220-091103,"Meal Kit Delivery","Recipe ingredient delivery",220-091100
220-091104,"Corporate Delivery","Business food delivery",220-091100
220-091105,"Specialty Delivery","Custom order delivery",220-091100
220-091200,"Meal Prep","Pre-prepared meal services",220-090000
220-091201,"Fitness Meals","Athletic nutrition prep",220-091200
220-091202,"Weight Loss Meals","Calorie controlled prep",220-091200
220-091203,"Family Meal Prep","Multi-serving preparation",220-091200
220-091204,"Special Diet Prep","Restricted diet meals",220-091200
220-091205,"Bulk Meal Service","Large quantity preparation",220-091200
220-091300,Bakery,"Baked goods and pastries",220-090000
220-091301,"Artisan Bread","Specialty bread bakery",220-091300
220-091302,"Custom Cakes","Special occasion cakes",220-091300
220-091303,Pastries,"Pastry shop",220-091300
220-091304,"Gluten-Free Bakery","Gluten-free baked goods",220-091300
220-091305,"Wedding Cakes","Wedding cake specialty",220-091300
220-091400,Desserts,"Dessert specialty shops",220-090000
